VAR var
IDENT x_1
COMMA ,
IDENT x_2
COMMA ,
IDENT y_
SEMICOLON ;
BEGIN begin
IDENT x_1
ASSIGN :=
NUMBER 3
SEMICOLON ;
IDENT x_2
ASSIGN :=
NUMBER 10
SEMICOLON ;
IF if
IDENT x_1
LEQ <=
IDENT x_2
THEN then
IDENT y_
ASSIGN :=
IDENT x_1
PLUS +
IDENT x_2
SEMICOLON ;
WHILE while
IDENT x_1
LSS <
IDENT x_2
DO do
BEGIN begin
IDENT x_1
ASSIGN :=
IDENT x_1
PLUS +
NUMBER 1
SEMICOLON ;
IDENT y_
ASSIGN :=
IDENT y_
PLUS +
NUMBER 3
SEMICOLON ;
END end
SEMICOLON ;
IDENT y_
ASSIGN :=
IDENT x_1
SEMICOLON ;
END end
PERIOD .
