PROGRAM          program
IDENT            input_1
SEMICOLON        ;
CONST            const
IDENT            z
EQU              =
NUMBER           15
SEMICOLON        ;
VAR              var
IDENT            x
COMMA            ,
IDENT            y
SEMICOLON        ;
PROCEDURE        procedure
IDENT            test
LPARENT          (
VAR              var
IDENT            x
SEMICOLON        ;
VAR              var
IDENT            y
RPARENT          )
SEMICOLON        ;
BEGIN            begin
IDENT            x
ASSIGN           :=
IDENT            z
SEMICOLON        ;
IDENT            y
ASSIGN           :=
IDENT            x
PLUS             +
NUMBER           1
END              end
SEMICOLON        ;
BEGIN            begin
IDENT            x
ASSIGN           :=
NUMBER           2
TIMES            *
NUMBER           2
SEMICOLON        ;
IDENT            y
ASSIGN           :=
IDENT            x
MINUS            -
NUMBER           1
SEMICOLON        ;
CALL             call
IDENT            test
LPARENT          (
IDENT            x
COMMA            ,
IDENT            y
RPARENT          )
SEMICOLON        ;
IDENT            x
ASSIGN           :=
IDENT            x
SLASH            /
NUMBER           2
SEMICOLON        ;
IDENT            y
ASSIGN           :=
LPARENT          (
IDENT            z
PLUS             +
NUMBER           1
RPARENT          )
SLASH            /
LPARENT          (
NUMBER           8
TIMES            *
NUMBER           2
RPARENT          )
END              end
PERIOD           .
